index,evt_id,evt_lon,evt_lat,sta_id,sta_lon,sta_lat,vel,dist
     0,     0,-119.312,  36.699,     2,-118.774,  37.140,   3.230,  68.450
     1,     0,-119.312,  36.699,     3,-118.599,  37.278,   3.230,  90.300
     2,     0,-119.312,  36.699,     4,-118.255,  37.350,   3.130, 118.580
     3,     0,-119.312,  36.699,     8,-118.972,  37.280,   3.370,  71.210
     4,     0,-119.312,  36.699,     9,-118.704,  37.359,   3.260,  91.050
     5,     0,-119.312,  36.699,    10,-118.487,  37.572,   3.260, 121.440
     6,     0,-119.312,  36.699,    11,-118.352,  37.660,   3.150, 136.540
     7,     0,-119.312,  36.699,    12,-118.157,  37.896,   3.170, 167.750
     8,     0,-119.312,  36.699,    13,-119.063,  37.391,   3.300,  79.910
     9,     0,-119.312,  36.699,    14,-118.647,  37.683,   3.210, 124.160
    10,     0,-119.312,  36.699,    15,-118.546,  37.817,   3.200, 141.460
    11,     0,-119.312,  36.699,    16,-118.353,  38.051,   3.140, 172.470
    12,     0,-119.312,  36.699,    17,-119.578,  37.246,   3.330,  65.190
    13,     0,-119.312,  36.699,    18,-119.484,  37.413,   3.350,  80.680
    14,     0,-119.312,  36.699,    19,-119.279,  37.500,   3.340,  88.960
    15,     0,-119.312,  36.699,    20,-119.083,  37.683,   3.270, 111.030
    16,     0,-119.312,  36.699,    21,-118.902,  37.783,   3.170, 125.720
    17,     0,-119.312,  36.699,    22,-118.729,  37.980,   3.150, 151.250
    18,     0,-119.312,  36.699,    23,-118.558,  38.169,   3.110, 176.280
    19,     0,-119.312,  36.699,    24,-120.058,  37.253,   3.410,  90.500
    20,     0,-119.312,  36.699,    25,-119.815,  37.343,   3.360,  84.270
    21,     0,-119.312,  36.699,    26,-119.675,  37.514,   3.330,  95.990
    22,     0,-119.312,  36.699,    27,-119.513,  37.736,   3.260, 116.420
    23,     0,-119.312,  36.699,    28,-119.332,  37.880,   3.270, 131.030
    24,     0,-119.312,  36.699,    29,-119.169,  37.974,   3.270, 142.050
    25,     0,-119.312,  36.699,    30,-118.967,  38.143,   3.170, 163.190
    26,     0,-119.312,  36.699,    31,-120.005,  37.588,   3.360, 116.290
    27,     0,-119.312,  36.699,    32,-119.807,  37.723,   3.320, 121.790
    28,     0,-119.312,  36.699,    33,-119.647,  37.865,   3.270, 132.780
    29,     0,-119.312,  36.699,    34,-119.511,  38.000,   3.290, 145.470
    30,     0,-119.312,  36.699,    35,-119.341,  38.180,   3.260, 164.380
    31,     0,-119.312,  36.699,    36,-119.148,  38.283,   3.220, 176.360
    32,     0,-119.312,  36.699,    37,-120.404,  37.642,   3.400, 142.670
    33,     0,-119.312,  36.699,    38,-120.112,  37.823,   3.390, 143.520
    34,     0,-119.312,  36.699,    39,-119.932,  37.985,   3.340, 152.960
    35,     0,-119.312,  36.699,    40,-119.697,  38.128,   3.280, 162.230
    36,     0,-119.312,  36.699,    41,-119.514,  38.362,   3.230, 185.400
    37,     0,-119.312,  36.699,    42,-120.147,  38.156,   3.370, 177.790
    38,     0,-119.312,  36.699,    43,-119.954,  38.286,   3.320, 185.080
    39,     0,-119.312,  36.699,    44,-119.807,  38.493,   3.250, 203.820
    40,     0,-119.312,  36.699,    46,-120.605,  38.153,   3.360, 197.780
    41,     0,-119.312,  36.699,    47,-120.253,  38.333,   3.390, 199.520
    42,     0,-119.312,  36.699,    49,-119.806,  38.809,   3.220, 238.210
    43,     0,-119.312,  36.699,    51,-120.709,  38.382,   3.370, 223.940
    44,     0,-119.312,  36.699,    52,-120.535,  38.502,   3.390, 227.380
    45,     0,-119.312,  36.699,    54,-119.895,  39.008,   3.220, 261.390
    46,     0,-119.312,  36.699,    72,-121.347,  39.236,   3.380, 333.590
    47,     0,-119.312,  36.699,    95,-121.086,  40.320,   3.310, 430.730
    48,     0,-119.312,  36.699,    96,-120.918,  39.962,   3.330, 388.480
    49,     0,-119.312,  36.699,    97,-119.828,  40.165,   3.170, 387.400
    50,     0,-119.312,  36.699,    99,-120.728,  40.618,   3.110, 452.230
    51,     0,-119.312,  36.699,   100,-119.898,  39.678,   3.190, 334.710
    52,     0,-119.312,  36.699,   103,-120.740,  38.755,   3.380, 260.620
    53,     0,-119.312,  36.699,   104,-120.076,  38.703,   3.330, 232.380
    54,     0,-119.312,  36.699,   105,-118.808,  38.938,   3.150, 252.490
    55,     0,-119.312,  36.699,   106,-119.451,  38.523,   3.230, 202.770
    56,     0,-119.312,  36.699,   108,-119.849,  37.882,   3.370, 139.620
    57,     0,-119.312,  36.699,   109,-118.171,  37.499,   3.170, 134.810
    58,     0,-119.312,  36.699,   110,-119.047,  38.089,   3.270, 156.040
    59,     0,-119.312,  36.699,   114,-121.786,  39.229,   3.340, 355.150
    60,     0,-119.312,  36.699,   115,-119.835,  40.748,   3.140, 451.870
    61,     0,-119.312,  36.699,   116,-118.971,  40.780,   3.120, 454.030
    62,     0,-119.312,  36.699,   119,-118.155,  40.290,   3.070, 411.270
    63,     0,-119.312,  36.699,   120,-118.889,  39.540,   3.140, 317.530
    64,     0,-119.312,  36.699,   121,-118.080,  39.695,   3.080, 349.610
    65,     0,-119.312,  36.699,   122,-117.932,  38.861,   3.090, 268.980
    66,     0,-119.312,  36.699,   123,-118.106,  38.349,   3.120, 211.870
    67,     0,-119.312,  36.699,   145,-120.674,  36.895,   2.940, 123.470
    68,     0,-119.312,  36.699,   146,-120.121,  36.336,   3.230,  82.900
    69,     1,-119.040,  36.913,     3,-118.599,  37.278,   3.200,  56.390
    70,     1,-119.040,  36.913,     4,-118.255,  37.350,   3.090,  84.970
    71,     1,-119.040,  36.913,     9,-118.704,  37.359,   3.290,  57.850
    72,     1,-119.040,  36.913,    10,-118.487,  37.572,   3.190,  88.070
    73,     1,-119.040,  36.913,    11,-118.352,  37.660,   3.060, 102.990
    74,     1,-119.040,  36.913,    12,-118.157,  37.896,   3.110, 134.280
    75,     1,-119.040,  36.913,    13,-119.063,  37.391,   3.250,  53.130
    76,     1,-119.040,  36.913,    14,-118.647,  37.683,   3.210,  92.360
    77,     1,-119.040,  36.913,    15,-118.546,  37.817,   3.220, 109.500
    78,     1,-119.040,  36.913,    16,-118.353,  38.051,   3.170, 140.260
    79,     1,-119.040,  36.913,    17,-119.578,  37.246,   3.220,  60.530
    80,     1,-119.040,  36.913,    18,-119.484,  37.413,   3.290,  68.140
    81,     1,-119.040,  36.913,    19,-119.279,  37.500,   3.310,  68.600
    82,     1,-119.040,  36.913,    20,-119.083,  37.683,   3.180,  85.550
    83,     1,-119.040,  36.913,    21,-118.902,  37.783,   3.060,  97.430
    84,     1,-119.040,  36.913,    22,-118.729,  37.980,   3.110, 121.630
    85,     1,-119.040,  36.913,    23,-118.558,  38.169,   3.090, 145.840
    86,     1,-119.040,  36.913,    24,-120.058,  37.253,   3.310,  98.100
    87,     1,-119.040,  36.913,    25,-119.815,  37.343,   3.290,  83.780
    88,     1,-119.040,  36.913,    26,-119.675,  37.514,   3.270,  87.350
    89,     1,-119.040,  36.913,    27,-119.513,  37.736,   3.340, 100.520
    90,     1,-119.040,  36.913,    28,-119.332,  37.880,   3.240, 110.420
    91,     1,-119.040,  36.913,    29,-119.169,  37.974,   3.190, 118.360
    92,     1,-119.040,  36.913,    30,-118.967,  38.143,   3.060, 136.770
    93,     1,-119.040,  36.913,    31,-120.005,  37.588,   3.290, 113.800
    94,     1,-119.040,  36.913,    32,-119.807,  37.723,   3.260, 112.720
    95,     1,-119.040,  36.913,    33,-119.647,  37.865,   3.300, 118.620
    96,     1,-119.040,  36.913,    34,-119.511,  38.000,   3.350, 127.710
    97,     1,-119.040,  36.913,    35,-119.341,  38.180,   3.240, 143.180
    98,     1,-119.040,  36.913,    36,-119.148,  38.283,   3.130, 152.380
    99,     1,-119.040,  36.913,    37,-120.404,  37.642,   3.380, 145.560
   100,     1,-119.040,  36.913,    38,-120.112,  37.823,   3.280, 138.680
   101,     1,-119.040,  36.913,    39,-119.932,  37.985,   3.290, 142.860
   102,     1,-119.040,  36.913,    40,-119.697,  38.128,   3.300, 146.890
   103,     1,-119.040,  36.913,    41,-119.514,  38.362,   3.220, 166.200
   104,     1,-119.040,  36.913,    42,-120.147,  38.156,   3.300, 169.180
   105,     1,-119.040,  36.913,    44,-119.807,  38.493,   3.250, 187.990
   106,     1,-119.040,  36.913,    45,-119.611,  38.682,   3.180, 202.720
   107,     1,-119.040,  36.913,    46,-120.605,  38.153,   3.320, 195.120
   108,     1,-119.040,  36.913,    47,-120.253,  38.333,   3.340, 190.590
   109,     1,-119.040,  36.913,    49,-119.806,  38.809,   3.210, 221.040
   110,     1,-119.040,  36.913,    51,-120.709,  38.382,   3.300, 219.810
   111,     1,-119.040,  36.913,    52,-120.535,  38.502,   3.300, 220.230
   112,     1,-119.040,  36.913,    53,-120.326,  38.642,   3.300, 222.900
   113,     1,-119.040,  36.913,    54,-119.895,  39.008,   3.170, 244.460
   114,     1,-119.040,  36.913,    55,-119.602,  39.096,   3.160, 247.390
   115,     1,-119.040,  36.913,    56,-120.991,  38.562,   3.320, 251.200
   116,     1,-119.040,  36.913,    57,-120.545,  38.834,   3.370, 251.080
   117,     1,-119.040,  36.913,    59,-120.155,  39.052,   3.250, 256.860
   118,     1,-119.040,  36.913,    60,-119.591,  39.360,   3.150, 275.930
   119,     1,-119.040,  36.913,    61,-121.196,  38.703,   3.330, 274.860
   120,     1,-119.040,  36.913,    62,-120.950,  38.848,   3.310, 272.800
   121,     1,-119.040,  36.913,    65,-120.388,  39.315,   3.270, 291.700
   122,     1,-119.040,  36.913,    66,-120.041,  39.472,   3.160, 297.410
   123,     1,-119.040,  36.913,    67,-121.170,  39.037,   3.320, 301.090
   124,     1,-119.040,  36.913,    68,-120.931,  39.194,   3.330, 302.840
   125,     1,-119.040,  36.913,    72,-121.347,  39.236,   3.330, 327.890
   126,     1,-119.040,  36.913,    73,-121.163,  39.384,   3.330, 331.470
   127,     1,-119.040,  36.913,    75,-120.714,  39.804,   3.300, 352.790
   128,     1,-119.040,  36.913,    76,-120.188,  40.025,   3.260, 359.760
   129,     1,-119.040,  36.913,    77,-121.091,  39.682,   3.340, 355.960
   130,     1,-119.040,  36.913,    80,-121.527,  39.719,   3.330, 379.960
   131,     1,-119.040,  36.913,    95,-121.086,  40.320,   3.300, 418.160
   132,     1,-119.040,  36.913,    96,-120.918,  39.962,   3.300, 376.140
   133,     1,-119.040,  36.913,    97,-119.828,  40.165,   3.140, 367.570
   134,     1,-119.040,  36.913,   100,-119.898,  39.678,   3.150, 316.110
   135,     1,-119.040,  36.913,   101,-120.608,  39.303,   3.330, 298.850
   136,     1,-119.040,  36.913,   102,-121.377,  38.839,   3.310, 296.660
   137,     1,-119.040,  36.913,   103,-120.740,  38.755,   3.320, 253.420
   138,     1,-119.040,  36.913,   104,-120.076,  38.703,   3.290, 218.650
   139,     1,-119.040,  36.913,   105,-118.808,  38.938,   3.090, 225.800
